price,date,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated,day,month,year,7_day_avg,30_day_avg
29022.41839530417,,,,,,,,,,,,,0.0,,,,,,
29352.12679194895,,,,,,,,,,,,,0.0,,,,,,
32163.82493533521,,,,,,,,,,,,,0.0,,,,,,
33008.226203489285,,,,,,,,,,,,,0.0,,,,,,
31515.575966658354,,,,,,,,,,,,,0.0,,,,,,
34082.20604904424,,,,,,,,,,,,,0.0,,,,,,
36933.520137309126,,,,,,,,,,,,,0.0,,,,,32296.842639869905,
39547.08408135567,,,,,,,,,,,,,0.0,,,,,33800.366309305835,
40815.96185478254,,,,,,,,,,,,,0.0,,,,,35438.057032567776,
40296.5290038294,,,,,,,,,,,,,0.0,,,,,36599.87189949552,
38397.895985418174,,,,,,,,,,,,,0.0,,,,,37369.824725485356,
35669.90668663349,,,,,,,,,,,,,0.0,,,,,37963.30054262466,
33938.33587810088,,,,,,,,,,,,,0.0,,,,,37942.74766106133,
37456.00772548642,,,,,,,,,,,,,0.0,,,,,38017.38874508665,
39232.74997140346,,,,,,,,,,,,,0.0,,,,,37972.483872236335,
36787.52121668496,,,,,,,,,,,,,0.0,,,,,37396.99235250811,
36254.713079410845,,,,,,,,,,,,,0.0,,,,,36819.59007759117,
35804.263885674685,,,,,,,,,,,,,0.0,,,,,36449.071206199245,
36595.4647692826,,,,,,,,,,,,,0.0,,,,,36581.293789434836,
36104.86385775514,,,,,,,,,,,,,0.0,,,,,36890.7977865283,
35587.489202735545,,,,,,,,,,,,,0.0,,,,,36623.86656899246,
30913.695736053804,,,,,,,,,,,,,0.0,,,,,35435.4302496568,
32957.908782655926,,,,,,,,,,,,,0.0,,,,,34888.34275908122,
32068.08737440817,,,,,,,,,,,,,0.0,,,,,34290.25337265227,
32273.51735032927,,,,,,,,,,,,,0.0,,,,,33785.86101046007,
32375.320062981456,,,,,,,,,,,,,0.0,,,,,33182.98319527419,
32582.10944502123,,,,,,,,,,,,,0.0,,,,,32679.732564883627,
30445.52586511351,,,,,,,,,,,,,0.0,,,,,31945.166373794764,
33128.34752861149,,,,,,,,,,,,,0.0,,,,,32261.545201303004,
34150.81876737221,,,,,,,,,,,,,0.0,,,,,32431.960913405335,34648.73388633967
34199.51981036302,,,,,,,,,,,,,0.0,,,,,32736.45126139888,34821.3039335083
33064.78676701507,,,,,,,,,,,,,0.0,,,,,32849.48974949685,34945.0592660105
33405.99035714327,,,,,,,,,,,,,0.0,,,,,32996.72836294854,34986.464780070775
35485.98593382442,,,,,,,,,,,,,0.0,,,,,33411.567861349,35069.05677108195
37494.71762460426,,,,,,,,,,,,,0.0,,,,,34418.595255561966,35268.36149301347
36816.50808203406,,,,,,,,,,,,,0.0,,,,,34945.47533462233,35359.50489411314
38007.83222908396,,,,,,,,,,,,,0.0,,,,,35496.47725772401,35395.315297172296
39279.41286897885,,,,,,,,,,,,,0.0,,,,,36222.176266097704,35386.3929234264
38833.34026455532,,,,,,,,,,,,,0.0,,,,,37046.25533717487,35320.3055370855
46307.57412159395,,,,,,,,,,,,,0.0,,,,,38889.3387320964,35520.67370767765
46569.56483,,,,,,,,,,,,,0.0,,,,,40472.707145835775,35793.06266916371
44848.69344950499,,,,,,,,,,,,,0.0,,,,,41523.27512082159,36099.02222792609
47815.96175554316,,,,,,,,,,,,,0.0,,,,,43094.625645608605,36561.60975717417
47414.1862550079,,,,,,,,,,,,,0.0,,,,,44438.390506454874,36893.549041491555
46941.29208582354,,,,,,,,,,,,,0.0,,,,,45532.94468028984,37150.50044530556
48607.8745224845,,,,,,,,,,,,,0.0,,,,,46929.30671713686,37544.51222216554
47898.487027633135,,,,,,,,,,,,,0.0,,,,,47156.57998942817,37932.63802043962
49238.13690672487,,,,,,,,,,,,,0.0,,,,,47537.80457181744,38380.43378780795
52143.6788446198,,,,,,,,,,,,,0.0,,,,,48579.94534254813,38898.707590319194
51733.075539032034,,,,,,,,,,,,,0.0,,,,,49139.53302590368,39419.64797969509
56038.72775892988,,,,,,,,,,,,,0.0,,,,,50371.61038360682,40101.35593156823
56377.63347790987,,,,,,,,,,,,,0.0,,,,,51719.659153904875,40950.15385629677
57669.3035269179,,,,,,,,,,,,,0.0,,,,,53014.149011681075,41773.86701443884
54410.85629451601,,,,,,,,,,,,,0.0,,,,,53944.48747837862,42518.625978442426
48691.894831704405,,,,,,,,,,,,,0.0,,,,,53866.45289623284,43065.905227821604
49849.37871358314,,,,,,,,,,,,,0.0,,,,,53538.695734656176,43648.37384950833
46992.665450048495,,,,,,,,,,,,,0.0,,,,,52861.49429337281,44128.72571634257
46551.48747675472,,,,,,,,,,,,,0.0,,,,,51506.174253062076,44665.59110339727
46653.52639939581,,,,,,,,,,,,,0.0,,,,,50117.016098988635,45116.43039909008
44970.163459946736,,,,,,,,,,,,,0.0,,,,,48302.853232278474,45477.0752221759
49787.33995949672,,,,,,,,,,,,,0.0,,,,,47642.350898704295,45996.669227147024
48532.23678981703,,,,,,,,,,,,,0.0,,,,,47619.54260700609,46512.25089457376
50577.45746915202,,,,,,,,,,,,,0.0,,,,,47723.55385780165,47084.633131640716
48727.45120080115,,,,,,,,,,,,,0.0,,,,,47971.38039362345,47526.01530720661
49091.81488232977,,,,,,,,,,,,,0.0,,,,,48334.2843087056,47912.58521579745
49019.36859236582,,,,,,,,,,,,,0.0,,,,,48672.26176484418,48319.34723280851
51313.09262027362,,,,,,,,,,,,,0.0,,,,,49578.39450203373,48762.85591251484
52328.5359126325,,,,,,,,,,,,,0.0,,,,,49941.42249533884,49197.82668063662
54700.27343927744,,,,,,,,,,,,,0.0,,,,,50822.570588118906,49726.72445312736
56020.4877195857,,,,,,,,,,,,,0.0,,,,,51600.14633818086,50050.488239727085
57788.86810329514,,,,,,,,,,,,,0.0,,,,,52894.634467108575,50424.46501550359
57353.86147197248,,,,,,,,,,,,,0.0,,,,,54074.92683705752,50841.30394958585
61315.197932766816,,,,,,,,,,,,,0.0,,,,,55831.47388568624,51291.278488826625
59428.96756602776,,,,,,,,,,,,,0.0,,,,,56990.88459222255,51691.771199193965
55805.32924923426,,,,,,,,,,,,,0.0,,,,,57487.56935459423,51987.23910464098
56830.253335076224,,,,,,,,,,,,,0.0,,,,,57791.8521968512,52261.31839839405
59014.92563205099,,,,,,,,,,,,,0.0,,,,,58219.6290414891,52631.86635187464
57922.40959262911,,,,,,,,,,,,,0.0,,,,,58238.70639710823,52921.34210807144
58243.27060892363,,,,,,,,,,,,,0.0,,,,,58365.76484524411,53124.661833548234
58376.15847137206,,,,,,,,,,,,,0.0,,,,,57945.902065044866,53346.09793129291
57573.539344778685,,,,,,,,,,,,,0.0,,,,,57680.840890580715,53397.258317487875
54370.13755789519,,,,,,,,,,,,,0.0,,,,,57475.813506103696,53330.34178682071
54584.86994699455,,,,,,,,,,,,,0.0,,,,,57155.04445066346,53227.5273341566
52526.86659704657,,,,,,,,,,,,,0.0,,,,,56228.17887423426,53164.72767757428
51416.90830498005,,,,,,,,,,,,,0.0,,,,,55298.82154742725,53255.5614600168
55033.10048044704,,,,,,,,,,,,,0.0,,,,,54840.22581478774,53428.35218557893
55832.41810961832,,,,,,,,,,,,,0.0,,,,,54476.8343345372,53723.010607564596
55728.10132780653,,,,,,,,,,,,,0.0,,,,,54213.2003321126,54028.89773593299
57634.92869447539,,,,,,,,,,,,,0.0,,,,,54679.59906590978,54394.944479102305
58668.628336761,,,,,,,,,,,,,0.0,,,,,55262.9931215907,54851.559974996126
58817.3738884188,,,,,,,,,,,,,0.0,,,,,56161.63702035816,55152.56110596019
58801.194843878126,,,,,,,,,,,,,0.0,,,,,57216.53509734361,55494.859707762225
59060.02678333801,,,,,,,,,,,,,0.0,,,,,57791.810283470884,55777.61201823509
57060.40665471088,,,,,,,,,,,,,0.0,,,,,57967.23721848411,56055.37720003208
58228.8026234662,,,,,,,,,,,,,0.0,,,,,58324.48026072121,56359.94345806996
58706.81559311396,,,,,,,,,,,,,0.0,,,,,58477.60696052672,56682.858358094905
58062.17872433649,,,,,,,,,,,,,0.0,,,,,58390.97130160893,56907.827894897
56134.41738866435,,,,,,,,,,,,,0.0,,,,,58007.691801644,57034.69061076473
58065.64402481532,,,,,,,,,,,,,0.0,,,,,57902.61311320646,57146.86963028265
58152.99326214184,,,,,,,,,,,,,0.0,,,,,57773.03689589272,57217.95314836786
59979.39281571831,,,,,,,,,,,,,0.0,,,,,58190.03491889378,57290.970638781975
59988.02095852983,,,,,,,,,,,,,0.0,,,,,58441.35182390287,57378.77595500054
59911.02059484732,,,,,,,,,,,,,0.0,,,,,58613.38110986478,57331.97004373655
63576.67604104828,,,,,,,,,,,,,0.0,,,,,59401.1664408236,57470.22699290391
62807.12323259299,,,,,,,,,,,,,0.0,,,,,60354.41013281342,57703.62012568254
63179.772446084695,,,,,,,,,,,,,0.0,,,,,61084.99990728047,57915.27076271615
61497.2995694412,,,,,,,,,,,,,0.0,,,,,61562.75795118038,57998.016560629156
60273.86667694734,,,,,,,,,,,,,0.0,,,,,61604.825645641664,58076.39846343977
56288.94534001195,,,,,,,,,,,,,0.0,,,,,61076.38627156768,58011.25428780938
55721.166052695626,,,,,,,,,,,,,0.0,,,,,60477.83562268887,57922.75454052016
56294.728558586925,,,,,,,,,,,,,0.0,,,,,59437.557410908674,57880.12751431377
54190.07026283405,,,,,,,,,,,,,0.0,,,,,58206.549843800254,57874.12527114506
51965.5664304852,,,,,,,,,,,,,0.0,,,,,56604.52041300033,57786.81515392809
51191.1246964079,,,,,,,,,,,,,0.0,,,,,55132.20971685271,57742.2904239068
